0.0, 0.0, 0.0
0.1, 0.2, 0.5
0.2, 0.4, 1.0
0.30000000000000004, 0.6000000000000001, 1.5000000000000002
0.4, 0.8, 2.0
0.5, 1.0, 2.5
0.6000000000000001, 1.2000000000000002, 3.0000000000000004
0.7000000000000001, 1.4000000000000001, 3.5000000000000004
0.8, 1.6, 4.0
0.9, 1.8, 4.5
1.0, 2.0, 5.0
1.1, 2.2, 5.5
1.2000000000000002, 2.4000000000000004, 6.000000000000001
1.3, 2.6, 6.5
1.4000000000000001, 2.8000000000000003, 7.000000000000001
1.5, 3.0, 7.5
1.6, 3.2, 8.0
1.7000000000000002, 3.4000000000000004, 8.5
1.8, 3.6, 9.0
1.9000000000000001, 3.8000000000000003, 9.5
2.0, 4.0, 10.0
2.1, 4.2, 10.5
2.2, 4.4, 11.0
2.3000000000000003, 4.6000000000000005, 11.500000000000002
2.4000000000000004, 4.800000000000001, 12.000000000000002
2.5, 5.0, 12.5
2.6, 5.2, 13.0
2.7, 5.4, 13.5
2.8000000000000003, 5.6000000000000005, 14.000000000000002
2.9000000000000004, 5.800000000000001, 14.500000000000002
3.0, 6.0, 15.0
3.1, 6.2, 15.5
3.2, 6.4, 16.0
3.3000000000000003, 6.6000000000000005, 16.5
3.4000000000000004, 6.800000000000001, 17.0
3.5, 7.0, 17.5
3.6, 7.2, 18.0
3.7, 7.4, 18.5
3.8000000000000003, 7.6000000000000005, 19.0
3.9000000000000004, 7.800000000000001, 19.5
